word	score	prompt: sub
gqom	10.321188	{"gqo": 1, "qom": 1, "gq": 4, "qo": 7, "om": 11650}
awqaf	10.319342	{"awq": 1, "qaf": 1, "wqa": 1, "wq": 3, "qa": 105, "aw": 1826, "af": 1859}
fiqh	10.296968	{"iqh": 1, "qh": 1, "fiq": 3, "iq": 458, "fi": 6074}
womxn	10.237164	{"mx": 1, "mxn": 1, "omx": 1, "xn": 13, "wom": 360, "wo": 2912, "om": 11650}
kvlt	10.167771	{"kvl": 1, "vlt": 1, "vl": 31, "kv": 50, "lt": 2925}
luwuk	10.053268	{"luw": 1, "wuk": 1, "uwu": 2, "uw": 19, "wu": 124, "uk": 543, "lu": 5008}
vly	9.991326	{"vly": 1, "vl": 31, "ly": 11081}
yueqin	9.983694	{"eqi": 1, "ueq": 1, "yue": 1, "qin": 20, "qi": 59, "yu": 212, "eq": 689, "ue": 2745, "in": 55898}
uhh	9.980771	{"uhh": 1, "hh": 80, "uh": 111}
mhm	9.980692	{"mhm": 1, "mh": 50, "hm": 700}
tevbe	9.977420	{"evb": 1, "vbe": 1, "vb": 3, "tev": 24, "ev": 2630, "be": 7191, "te": 33606}
qis	9.976328	{"qis": 1, "qi": 59, "is": 31626}
ehh	9.972843	{"ehh": 1, "hh": 80, "eh": 1061}
twp	9.970531	{"twp": 1, "wp": 99, "tw": 999}
swy	9.969999	{"swy": 1, "wy": 102, "sw": 1315}
uhm	9.969873	{"uhm": 1, "uh": 111, "hm": 700}
xuc	9.962972	{"xuc": 1, "xu": 311, "uc": 3665}
fye	9.961748	{"fye": 1, "fy": 616, "ye": 1568}
waqfs	9.925519	{"qfs": 1, "aqf": 2, "qf": 2, "waq": 4, "aq": 298, "fs": 551, "wa": 4375}
zuhd	9.872191	{"uhd": 1, "zuh": 2, "hd": 82, "uh": 111, "zu": 163}
barszcz	9.799414	{"rsz": 1, "szc": 1, "zcz": 1, "sz": 22, "zc": 23, "cz": 30, "ars": 1093, "bar": 1155, "ba": 7263, "rs": 15538, "ar": 23319}
shhh	9.788448	{"hhh": 1, "shh": 9, "hh": 80, "sh": 9655}
ajza'	9.787541	{"jza": 1, "ajz": 5, "jz": 5, "aj": 340, "za": 2328}
